instrument_id,symbol,instrument_name,asset_class,exchange,sector,market_cap_usd,avg_daily_volume,beta,volatility_30d,sharpe_ratio,correlation_to_index,dividend_yield,pe_ratio,debt_to_equity,esg_score,liquidity_score,credit_rating
INST_00001,EQSU,Superior Group,Fixed Income,NYSE,Financial,115140390262.59975,26511409.505636673,-0.7386686244550138,1.0329154324585352,0.7884745441882797,-0.21642073459639666,0.10037015202090722,60.19381585410527,1.2395507128407686,25.058778561590405,41.3794187368876,BB
INST_00002,WYUT,Global Enterprises,Commodity,LSE,Healthcare,1621520987975.0867,3810618.873674034,-1.5174214632408016,0.203197520060582,1.846352196086153,-0.05845416190856245,0.12705300815999473,11.576655311421932,1.9357260867997987,27.018239132519525,34.83094160195765,AAA
INST_00003,ZCLW,Dynamic Corp,Derivatives,TSE,Energy,1437219034262.6357,14589384.482811509,2.9007664184044577,1.467826211687185,1.25872719043755,0.8530924306848466,0.05206471912713593,25.999121830813444,1.963302951517199,24.150771338026686,89.61769020235275,BBB
INST_00004,QYNK,Strategic Solutions,Crypto,LSE,Energy,1262598924404.4888,1804662.2485234165,0.8676324606814649,2.3325948897408355,-0.6977372324419155,-0.4064937095018683,0.1451988655125059,116.0597537860987,1.3337308397220005,24.84448184253357,76.67733142656886,AA
INST_00005,YTEP,Superior Manufacturing,Commodity,TSE,Financial,436076735821.6212,44807471.470391214,-0.910944624235781,2.124709102711218,1.7556863552421729,0.6708573697838764,0.12997287059368798,120.98771161150779,4.615910835195013,58.544649523065,51.20171470787149,CCC
INST_00006,DQDG,Prime Systems,Commodity,HKEX,Technology,773221262890.327,41746514.75630741,2.8026995077349692,1.1595457569603125,1.9031616927882782,-0.36283660552398683,0.052299743865345465,11.867871479797262,3.7782946143771445,50.49889146025961,94.42894069670649,AA
INST_00007,DGIZ,Prime Manufacturing,FX,HKEX,Technology,1174764027572.2563,16113674.164468057,-0.8774290036844627,0.7221795027065232,1.478625819365707,0.8688200490754561,0.08450728690862457,122.02512128381854,0.0006822907924547428,83.64335338723893,87.03625134406195,CCC
INST_00008,LEDU,Elite Partners,Derivatives,TSE,Consumer,1529920131729.1426,2569430.2123274296,2.5785893250077834,0.3053173130822155,-0.0062563034469858,0.22849270541290578,0.10337219630694441,105.3837280640646,0.9283482469331389,54.08741878157358,92.57061088614115,BBB
INST_00009,IMOK,Premier Supply Co,Derivatives,TSE,Industrial,69502852689.921,32104053.229014035,-1.6432729312177483,0.7040303160401042,-0.5642797510917092,0.2298453388702728,0.1123303444535418,28.310712886291896,3.341248221108541,41.333733496916906,51.339231878834,AAA
INST_00010,HUEG,Dynamic Technologies,FX,LSE,Technology,803808771337.9519,14528834.56405388,-0.15335222933153458,0.35756511509161704,-0.0958820144776169,-0.03027924781630431,0.08761953902454468,148.64307901669372,1.0885903488234316,82.39931608349539,83.46433172497771,BBB
INST_00011,XMCT,Superior Systems,Commodity,NYSE,Consumer,196066830671.57913,33568023.40753774,-0.8379746568840138,0.4910103159154454,2.306788010950732,0.4142143968776022,0.02339437943838451,87.64106426177,1.335791209450935,23.319273826646423,32.29147534424316,AAA
INST_00012,WMYY,Alpha Supply Co,Commodity,Euronext,Healthcare,90237801409.69225,12377178.094301617,-1.3084407069320607,0.6186246498693251,1.7102330119654634,-0.6356475495234195,0.11975298127713,119.2580131571807,3.2866426959946864,37.23022138821831,80.24202533789202,AA
