instrument_id,instrument_name,weight,risk_contribution,risk_contribution_pct
INST_01429,Advanced Solutions,0.04186268398158016,0.2921248448346726,45.959433061054376
INST_00023,Advanced Supply Co,0.022083820072117087,0.20372833376032334,32.052182084672836
INST_01432,Premier Group,0.03270309739378469,0.06353725561493716,9.996192716749068
INST_00022,Elite Technologies,0.0259505427452891,0.026938737314919206,4.238219091139102
INST_00601,Global Industries,0.025816518059935716,0.026053787478125503,4.098991656343101
INST_00473,Superior Corp,0.019192792166671326,0.008722935866854412,1.3723625160860757
INST_00680,Premier Manufacturing,0.02028609710534531,0.008013681369990644,1.2607768870365836
INST_00803,Premier Enterprises,0.013725635706982483,0.002594018218092485,0.4081118356127812
INST_00813,Dynamic Solutions,0.011866128261962872,0.0018913869086846038,0.29756821975015785
INST_01079,Alpha Partners,0.010407126152194876,0.0008626426180458553,0.1357178835032983
INST_01204,Alpha Enterprises,0.007764850929475494,0.00034042083271774374,0.05355774680080394
INST_00358,Dynamic Technologies,0.006144067791771149,0.00016947340946731082,0.026662921541129588
INST_00070,Innovative Enterprises,0.006017640317232115,0.00013743877925459884,0.02162297554225364
INST_01191,Advanced Technologies,0.005789685957335064,0.00013584491265658852,0.02137221561369993
INST_00383,Elite Supply Co,0.005696418362274709,0.00011011323791107015,0.01732390132641371
INST_01308,Superior Technologies,0.005385588059553718,0.00010410956991634487,0.01637935593014476
INST_00104,Dynamic Technologies,0.004658494873283759,6.812581468169984e-05,0.01071810178064579
INST_00639,Superior Corp,0.0029232782724326,1.637953761476219e-05,0.0025769607614262576
INST_00398,Advanced Solutions,0.0030381564185649134,1.3569968650425653e-05,0.002134936746591368
INST_01398,Prime Industries,0.002245649994244723,9.351196764777388e-06,0.0014712055799114424
INST_01107,Alpha Technologies,0.002694210311762308,9.16918328660604e-06,0.0014425697537770372
INST_01348,Innovative Technologies,0.001736532987545227,2.4068164800717963e-06,0.00037865975065799377
INST_01215,Superior Group,0.001577431739733723,2.24562259613649e-06,0.00035329943074830297
INST_01270,Premier Partners,0.0015315489361832004,1.556406435896791e-06,0.0002448663941845683
INST_01207,Advanced Corp,0.028526806026098514,1.1584328536119909e-06,0.00018225398535149615
INST_00987,Advanced Corp,0.02271052976811184,1.1495626599896e-06,0.00018085845505944726
INST_00959,Dynamic Manufacturing,0.02513490161620285,1.1123395451048312e-06,0.00017500221486926876
INST_00752,Advanced Group,0.019034280216672365,9.105269431167129e-07,0.0001432514311343235
INST_00893,Advanced Manufacturing,0.03793583665247693,8.98079197604152e-07,0.00014129305156900662
INST_00641,Innovative Systems,0.022345211110839383,8.631662335625037e-07,0.0001358002629130358
INST_00082,Strategic Group,0.018041209004669028,8.285909415774022e-07,0.00013036059954426273
INST_00221,Alpha Partners,0.017645297486835142,7.775311049672674e-07,0.00012232745486558957
INST_00925,Premier Group,0.017566545419509454,7.667133242241559e-07,0.0001206255144838546
INST_00360,Global Corp,0.018435835519214377,7.257610578868643e-07,0.00011418257415643255
INST_01093,Global Corp,0.01784143098635742,7.190224998638316e-07,0.0001131224099428653
INST_00394,Advanced Supply Co,0.016523759010919577,6.658396570439086e-07,0.00010475525683076985
INST_01122,Advanced Technologies,0.016385515790655555,6.604086809683543e-07,0.00010390081193909387
INST_01067,Superior Supply Co,0.014920129314798459,6.420025410759638e-07,0.00010100500978719036
INST_01066,Alpha Enterprises,0.016024439713222594,6.272100531581397e-07,9.867773646454484e-05
INST_01131,Innovative Partners,0.0011588218124163503,6.049752844621621e-07,9.517958359744055e-05
INST_01175,Strategic Corp,0.014027188960690358,6.015724276186569e-07,9.464421875572727e-05
INST_00919,Elite Manufacturing,0.0011648926130792272,5.669534265923931e-07,8.919767872861112e-05
INST_00457,Superior Enterprises,0.01449006393940394,5.522357495082882e-07,8.688217524877547e-05
INST_00590,Prime Technologies,0.013635063735487696,5.489182853730274e-07,8.636024507558784e-05
INST_00644,Global Supply Co,0.014328486589282374,5.38352758027439e-07,8.469799122973943e-05
INST_01015,Strategic Partners,0.000930299861116762,5.194268321648551e-07,8.172041216318594e-05
INST_00985,Advanced Enterprises,0.0135795834760386,5.004405253155274e-07,7.873333347355187e-05
INST_00963,Innovative Technologies,0.011829286941687148,4.372203343194426e-07,6.878702391595147e-05
INST_00920,Innovative Manufacturing,0.012037664354507203,4.3491999272031576e-07,6.842511565100242e-05
INST_00448,Dynamic Manufacturing,0.011029709587770567,4.265550165659193e-07,6.71090702395179e-05
INST_00332,Dynamic Systems,0.010833242104625234,3.903324597617189e-07,6.141024590403537e-05
INST_00510,Premier Solutions,0.010833837615633909,3.756973070941444e-07,5.9107725829974664e-05
INST_00687,Alpha Corp,0.00988538450944234,3.6282004259393083e-07,5.708177087861815e-05
INST_00818,Global Technologies,0.010143333207221562,3.504229530407325e-07,5.513136091675897e-05
INST_01311,Prime Enterprises,0.009809675954261524,3.331130789239871e-07,5.24080321248718e-05
INST_01078,Premier Systems,0.009622768828699963,3.2016040053686684e-07,5.03702124535216e-05
INST_00002,Global Enterprises,0.009254339984634825,3.073521051951043e-07,4.835510828557895e-05
INST_00084,Global Systems,0.0006897999693212473,3.0268812834645284e-07,4.762133388889859e-05
INST_00981,Prime Group,0.0008774005271327723,3.025539283534836e-07,4.7600220465296584e-05
INST_00158,Prime Supply Co,0.00878507097210223,2.840660195032392e-07,4.46915537624608e-05
INST_01444,Alpha Enterprises,0.008711627418894762,2.821499152838662e-07,4.439009681634546e-05
INST_00850,Innovative Manufacturing,0.008419470549717728,2.6542218707512716e-07,4.175835590670749e-05
INST_00842,Advanced Corp,0.008364066392985694,2.619540976026592e-07,4.1212728142489606e-05
INST_00047,Dynamic Solutions,0.008112670742921317,2.508330850826152e-07,3.946308089569218e-05
INST_01457,Alpha Technologies,0.0008382335169397855,2.2796344409372969e-07,3.5865044806862135e-05
INST_00632,Innovative Group,0.007438583656268601,2.1839215064807243e-07,3.435921184468342e-05
INST_00413,Global Partners,0.0072097667360095374,2.1212691832266738e-07,3.337351504154307e-05
INST_00469,Superior Industries,0.006910667965741932,1.9440144870051566e-07,3.058480141796858e-05
INST_00444,Dynamic Technologies,0.006079885907121634,1.7035772327035147e-07,2.6802048909973604e-05
INST_00957,Premier Partners,0.0063928727981820335,1.674683060561872e-07,2.6347462525460508e-05
INST_00231,Premier Group,0.006068609424628161,1.623985835197812e-07,2.554985294972608e-05
INST_01359,Global Systems,0.005568780931684436,1.3933875298403478e-07,2.1921894709793777e-05
INST_00461,Premier Manufacturing,0.005648739741290219,1.3522929662353903e-07,2.1275361941845136e-05
INST_01127,Prime Enterprises,0.005336000489557108,1.3276159198835002e-07,2.0887122776293813e-05
INST_01298,Dynamic Partners,0.005448309427624148,1.3045463578519505e-07,2.0524173848571866e-05
INST_00550,Alpha Systems,0.00523084615685387,1.2831470438413074e-07,2.018750260776e-05
INST_00540,Strategic Partners,0.005177168675187615,1.2307016180118258e-07,1.936238893448353e-05
