instrument_id,instrument_name,current_weight,target_weight,change,sector
INST_01429,Advanced Solutions,0.014090154910830842,0.04186268398158016,0.02777252907074932,Industrial
INST_00893,Advanced Manufacturing,0.03803584892082248,0.03793583665247693,-0.00010001226834555066,Industrial
INST_01432,Premier Group,0.016435179891851132,0.03270309739378469,0.01626791750193356,Technology
INST_01207,Advanced Corp,0.030719770553786743,0.028526806026098514,-0.0021929645276882286,Healthcare
INST_00022,Elite Technologies,0.006174698694788372,0.0259505427452891,0.01977584405050073,Healthcare
INST_00601,Global Industries,0.007146270362839266,0.025816518059935716,0.01867024769709645,Energy
INST_00959,Dynamic Manufacturing,0.027637320308107585,0.02513490161620285,-0.002502418691904734,Industrial
INST_00987,Advanced Corp,0.02273093470607601,0.02271052976811184,-2.0404937964169784e-05,Technology
INST_00641,Innovative Systems,0.02832871748068267,0.022345211110839383,-0.0059835063698432875,Healthcare
INST_00023,Advanced Supply Co,0.028941808746398724,0.022083820072117087,-0.006857988674281636,Technology
INST_00680,Premier Manufacturing,0.011776333695371953,0.02028609710534531,0.008509763409973356,Financial
INST_00473,Superior Corp,0.003882589066082616,0.019192792166671326,0.01531020310058871,Energy
INST_00752,Advanced Group,0.020402523570774968,0.019034280216672365,-0.001368243354102603,Technology
INST_00360,Global Corp,0.01246994646991729,0.018435835519214377,0.0059658890492970875,Industrial
INST_00082,Strategic Group,0.02766866908119604,0.018041209004669028,-0.009627460076527011,Industrial
INST_01093,Global Corp,0.024089535716701714,0.01784143098635742,-0.006248104730344293,Technology
INST_00221,Alpha Partners,0.01308946201301867,0.017645297486835142,0.004555835473816472,Industrial
INST_00925,Premier Group,0.028539549595369747,0.017566545419509454,-0.010973004175860293,Financial
INST_00394,Advanced Supply Co,0.013472400453157285,0.016523759010919577,0.0030513585577622918,Industrial
INST_01122,Advanced Technologies,0.01604006258197778,0.016385515790655555,0.0003454532086777755,Financial
INST_01066,Alpha Enterprises,0.01371213367765525,0.016024439713222594,0.0023123060355673443,Industrial
INST_01067,Superior Supply Co,0.01878266282987796,0.014920129314798459,-0.003862533515079501,Consumer
INST_00457,Superior Enterprises,0.013780702341922402,0.01449006393940394,0.0007093615974815368,Technology
INST_00644,Global Supply Co,0.00951718979233615,0.014328486589282374,0.004811296796946224,Financial
INST_01175,Strategic Corp,0.018548020958292843,0.014027188960690358,-0.0045208319976024845,Consumer
INST_00803,Premier Enterprises,0.008718851493920588,0.013725635706982483,0.005006784213061895,Industrial
INST_00590,Prime Technologies,0.012592654718646783,0.013635063735487696,0.0010424090168409134,Technology
INST_00985,Advanced Enterprises,0.009997286211322244,0.0135795834760386,0.0035822972647163564,Financial
INST_00920,Innovative Manufacturing,0.011874520456194259,0.012037664354507203,0.00016314389831294414,Technology
INST_00813,Dynamic Solutions,0.00368219312036991,0.011866128261962872,0.008183935141592961,Technology
INST_00963,Innovative Technologies,0.011314537075299716,0.011829286941687148,0.0005147498663874324,Financial
INST_00448,Dynamic Manufacturing,0.011014797617230912,0.011029709587770567,1.4911970539654984e-05,Healthcare
INST_00510,Premier Solutions,0.00877958892073846,0.010833837615633909,0.0020542486948954483,Financial
INST_00332,Dynamic Systems,0.019967026177903805,0.010833242104625234,-0.009133784073278571,Financial
INST_01079,Alpha Partners,0.0033385694098759,0.010407126152194876,0.0070685567423189755,Healthcare
INST_00818,Global Technologies,0.010514159547131256,0.010143333207221562,-0.0003708263399096936,Technology
INST_00687,Alpha Corp,0.0063033406807874994,0.00988538450944234,0.00358204382865484,Industrial
INST_01311,Prime Enterprises,0.006636981603222917,0.009809675954261524,0.0031726943510386072,Industrial
INST_01078,Premier Systems,0.010565854534220216,0.009622768828699963,-0.0009430857055202531,Healthcare
