instrument_id,instrument_name,current_weight,target_weight,change,sector,action,trade_size_pct
INST_01429,Advanced Solutions,0.014090154910830842,0.04186268398158016,0.02777252907074932,Industrial,BUY,2.777252907074932
INST_00893,Advanced Manufacturing,0.03803584892082248,0.03793583665247693,-0.00010001226834555066,Industrial,HOLD,0.010001226834555066
INST_01432,Premier Group,0.016435179891851132,0.03270309739378469,0.01626791750193356,Technology,BUY,1.626791750193356
INST_01207,Advanced Corp,0.030719770553786743,0.028526806026098514,-0.0021929645276882286,Healthcare,SELL,0.21929645276882287
INST_00022,Elite Technologies,0.006174698694788372,0.0259505427452891,0.01977584405050073,Healthcare,BUY,1.9775844050500728
INST_00601,Global Industries,0.007146270362839266,0.025816518059935716,0.01867024769709645,Energy,BUY,1.8670247697096451
INST_00959,Dynamic Manufacturing,0.027637320308107585,0.02513490161620285,-0.002502418691904734,Industrial,SELL,0.2502418691904734
INST_00987,Advanced Corp,0.02273093470607601,0.02271052976811184,-2.0404937964169784e-05,Technology,HOLD,0.0020404937964169784
INST_00641,Innovative Systems,0.02832871748068267,0.022345211110839383,-0.0059835063698432875,Healthcare,SELL,0.5983506369843288
INST_00023,Advanced Supply Co,0.028941808746398724,0.022083820072117087,-0.006857988674281636,Technology,SELL,0.6857988674281636
INST_00680,Premier Manufacturing,0.011776333695371953,0.02028609710534531,0.008509763409973356,Financial,BUY,0.8509763409973355
INST_00473,Superior Corp,0.003882589066082616,0.019192792166671326,0.01531020310058871,Energy,BUY,1.531020310058871
INST_00752,Advanced Group,0.020402523570774968,0.019034280216672365,-0.001368243354102603,Technology,SELL,0.1368243354102603
INST_00360,Global Corp,0.01246994646991729,0.018435835519214377,0.0059658890492970875,Industrial,BUY,0.5965889049297087
INST_00082,Strategic Group,0.02766866908119604,0.018041209004669028,-0.009627460076527011,Industrial,SELL,0.9627460076527011
INST_01093,Global Corp,0.024089535716701714,0.01784143098635742,-0.006248104730344293,Technology,SELL,0.6248104730344293
